PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
Samsung Galaxy A13 (128GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA13128GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a13?skuId=sku-mnpk7kj1I4tspMHK6FakLLp,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-13-128-gb-black-unlocked/c704c604-2732-4782-9ad1-c7a64e01217e?l=11&variantClicked=true#scroll=false,,,#N/A
Samsung Galaxy A14 (128GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA14128GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpn3fn8uqOXN9H0FgyAjiw,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-14-128-gb-black-unlocked/07f6895f-6c61-43a8-8d5b-019631090f52?l=11#,,,#N/A
Samsung Galaxy A14 (128GB, Black) Australian Stock - Pristine,Samsung Galaxy A Series,Samsung,,,SMGA14128GBBlkAS-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-14-128-gb-black-unlocked/07f6895f-6c61-43a8-8d5b-019631090f52?l=10#,,,#N/A
Samsung Galaxy A14 (64GB, Black) Australian Stock - Excellent,Samsung Galaxy A Series,Samsung,,,SMGA1464GBBlkAS-RD-VR-EXD-AU,,,,,,,,,,#N/A
Samsung Galaxy A14 (64GB, Black) Australian Stock - Pristine,Samsung Galaxy A Series,Samsung,,,SMGA1464GBBlkAS-VR-ASN-AU,,,,,,,,,,#N/A
Samsung Galaxy A14 5G (128GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA14128GB5GBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpl2nbcHAm4TxcRaCfzEZn,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/7e9b938b-5830-4876-81b8-c584a34a57f9?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0CZXYYZMV,,210.00
Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Excellent,Samsung Galaxy A Series,Samsung,,,SMGA14128GB5GBlkAS-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a14?skuId=sku-mnpl2nbcHAm4TxcRaCfzEZn,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/8aea794d-85f5-48c7-82df-65bff8fb8d52?l=11#scroll=false,,,#N/A
Samsung Galaxy A14 5G (128GB, Black) Australian Stock - Pristine,Samsung Galaxy A Series,Samsung,,,SMGA14128GB5GBlkAS-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-145-g-128-gb-black-unlocked/8aea794d-85f5-48c7-82df-65bff8fb8d52?l=10#scroll=false,,,#N/A
Samsung Galaxy A15 (128GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA15128Blk-RD-VR-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0CNKVFJJL,,275.03
Samsung Galaxy A20 (32GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGA20Blck32gb-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a20?skuId=sku-mngqln7bGX2hWy74zZvY8gF,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-20-32-gb-black-unlocked/ba457004-f40d-4b22-aaa2-34833cc36b41?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B08234DPSH,,
Samsung Galaxy A20 (32GB, Black) - Pristine,Samsung Galaxy A Series,Samsung,,,SGA20Blck32gb-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-20-32-gb-black-unlocked/ba457004-f40d-4b22-aaa2-34833cc36b41?l=10&variantClicked=true#scroll=false,,,#N/A
Samsung Galaxy A20 (32GB, Blue) - Excellent,Samsung Galaxy A Series,Samsung,,,SGA20Blu32gb-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a20?skuId=sku-mflc9kqje1pwjN24OXp76is,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-20-32-gb-dark-blue-unlocked/1f1be67f-735f-4da5-acfb-fb816b05417c?l=11,https://www.amazon.com.au/dp/B0GKYBHHPH,,
Samsung Galaxy A21S (128GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA21S128GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a21s?skuId=sku-mfdczhy2QIAwJJbmX6Kjush,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-21-s-128-gb-black-unlocked/61269f01-ab0c-4a15-9026-9c6fc9a78067?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0B97KNF97,,
Samsung Galaxy A21S (32GB, Black) - Excellent,Samsung Galaxy A Series,Samsung,,,SGlxA21S32GBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-a21s?skuId=sku-mfdejoiqp0MCpgN0g9u9Owg,https://www.backmarket.com.au/en-au/p/samsung-galaxy-a-21-s-32-gb-black-unlocked/577fd45a-dc3f-4ff7-8d1e-a2fafd75c64b?l=11&variantClicked=true#scroll=false,,,#N/A
