PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL
"Samsung Galaxy Z Fold 5 (512GB, Grey) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5512GBGry-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Note 10+ Plus 5G (12GB RAM, 256GB, Blue) - Excellent",Samsung Galaxy Note 10 Series,Samsung,,,GNT10Plus5G256GBBlu-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Note 10+ Plus 5G (12GB RAM, 256GB, White) - Excellent",Samsung Galaxy Note 10 Series,Samsung,,,GNT10Plus5G256GBWht-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Note 10+ Plus 5G (512GB, White)  - Excellent",Samsung Galaxy Note 10 Series,Samsung,,,GalxNote10+5G512GBWht-RD-VR-EXD-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 (512GB, Grey) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5512GBGryAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 (512GB, Icy Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld5512GBIBlu-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 (512GB, Icy Blue) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld5512GBIBluAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Black) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlk-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy Z Fold 5 5G (1TB, Black) Australian Stock - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlkAS-VR-ASN-AU,,,,,,,,,
"Samsung Galaxy S22 ULTRA 5G (1TB, Graphite) - Excellent",Samsung Galaxy S22 Ultra Series,Samsung,,,S22Ut5G1TBGrpt-RD-VR-EXD-AU,,,,,,,,,
