PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Audit Reebelo By
"Apple Macbook Air 2013 (i5, 4GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2013i54128GB-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2013 (i5, 8GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2013i58128GB-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2015 (13"", i5, 128GB, Silver) AU - Excellent",Apple Macbook Air Series,Apple,,,MacAir2015128GBAS-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-13-3-inch-2015-core-i-5-8-gb-ssd-128-qwerty-english/aa427f52-0116-446f-ab07-3edd548b9023?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air 2015 (i5, 8GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMJVE2LLi58256GB13-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2018 (i5, 16GB RAM, 1.5TB, Space Grey) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2018SpGi51.5TB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2018 (i5, 8GB RAM, 128GB, Gold) - Excellent - Excellent",Apple Macbook Air Series,Apple,,,MacAir2018Gldi5128GB13-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-retina-13-3-inch-2018-core-i-5-8-gb-ssd-128-qwerty-english/0cd9e9ad-8033-4cb5-abfc-42cbe0f7da09?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0DYG9TBSP,,
"Apple Macbook Air 2018 (i5, 8GB RAM, 128GB, Space Grey) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2018SpGi5128GB13-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-retina-13-3-inch-2018-core-i-5-8-gb-ssd-128-qwerty-english/888a07df-fb34-423e-8de2-d239a928016c?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B07NPTCNSG,,
"Apple Macbook Air 2019 (i5, 16GB RAM, 512GB, Gold) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2019Gldi516512GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2019 (i5, 8GB RAM, 128GB, Gold) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2019Gldi58128GB13-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-retina-13-3-inch-2019-core-i-5-8-gb-ssd-128-qwerty-english-us/5cc58864-6e53-408e-90de-1fa8b668e498?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air 2019 (i5, 8GB RAM, 256GB, Gold) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2019Gldi58256GB13-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-retina-13-3-inch-2019-core-i-5-8-gb-ssd-256-qwerty-english/9bbb4be9-ebf0-43d0-83af-55a5d7822df3?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air 2020 (M1, 16GB RAM, 1TB, Space Grey) - Excellent",Apple Macbook Air Series,Apple,,,MacAir132020SpG1TBM1-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2020 (M1, 16GB RAM, 256GB, Gold) - Excellent",Apple Macbook Air Series,Apple,,,MacAir132020Gld16256GBM1-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air 2022 (M2, 8GB RAM, 256GB, Grey) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2022M28256GryG-RD-VR-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0F8PBSTRV,,
"Apple Macbook Air 2022 (M2, 8GB RAM, 256GB, Midnight) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2022M28256MidG-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-13-6-inch-2022-m-28-core-and-8-core-gpu-8-gb-ram-ssd-256-gb-qwerty-english/febf7f0d-8b65-4e68-bff9-5aae0f424332?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air 2022 (M2, 8GB RAM, 512GB, Midnight) - Excellent",Apple Macbook Air Series,Apple,,,MacAir2022M28512MidG-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Early 2014 (i7, 4GB RAM, 512GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMF068X-Ai74512GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Early 2014 (i7, 8GB RAM, 512GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMF068X-Ai78512GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Early 2015 (i5, 4GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacBookAir2015MJV128GB-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air Early 2015 (i5, 4GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacBookAir2015MJV256GB-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air Late 2018 (i5, 16GB RAM, 256GB, Space Grey) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMRE82LL-Ai516256GB13-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air Late 2018 (i5, 8GB RAM, 128GB, Gold) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMRE82LL-Ai58128GB13-RD-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-retina-13-3-inch-2018-core-i-5-8-gb-ssd-128-qwerty-english/0cd9e9ad-8033-4cb5-abfc-42cbe0f7da09?l=11&variantClicked=true#scroll=false,https://www.amazon.com.au/dp/B0DYG9TBSP,,
"Apple Macbook Air M1 2020 13.3"" (8GB RAM, 256GB, Space Grey) AU - Excellent",Apple Macbook Air Series,Apple,,,MacAirM120208256GBSpGAS-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-13-inch-2020-m-18-core-and-7-core-gpu-8-gb-ram-ssd-256-gb-qwerty-english/5db61bd5-12be-43d9-8533-deef5d6cc035?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air M1 2020 13.3"" (8GB RAM, 512GB, Space Grey) AU - Excellent",Apple Macbook Air Series,Apple,,,MacAirM120208512GBSpGAS-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air MD711LL/A (i7, 8GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD711LL-Ai78256GB11-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air MD711LL/B (i5, 4GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD711LL-Bi54256GB11-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Air MGN73ll/a 13.3"" (8GB RAM, 512GB, Gold) AU - Excellent",Apple Macbook Air Series,Apple,,,McbkAirMgn732020M18512GldAS-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air MGN73ll/a 13.3"" (8GB RAM, 512GB, Silver) AU - Excellent",Apple Macbook Air Series,Apple,,,McbkAirMgn732020M18512SlvAS-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air MGN73ll/a 13.3"" (8GB RAM, 512GB, Space Gray) AU - Excellent",Apple Macbook Air Series,Apple,,,McbkAirMgn732020M18512SpGAS-RD-VR-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-air-13-3-inch-2020-m-18-core-and-8-core-gpu-8-gb-ram-ssd-512-gb-qwerty/34bf4081-2b88-4db5-8f8a-9a0d47314342?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Air Mid 2012 (i5, 4GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD223LL-Ai54128GB11-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2012 (i5, 4GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD231LL-Ai54256GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2012 (i5, 4GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD223LL-Ai54256GB11-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2012 (i5, 8GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD231LL-Ai58256GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2013 (i5, 4GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD760LL-Ai54128GB-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2013 (i5, 4GB RAM, 256GB, MD711L) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD711LL-A256GBi5-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2013 (i5, 8GB RAM, 128GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD760LL-Ai58128GB-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2013 (i5, 8GB RAM, 256GB) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD760LL-Ai58256GB-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Air Mid 2013 (i5, 8GB RAM, 512GB, MD711L) - Excellent",Apple Macbook Air Series,Apple,,,MacAirMD711LL-A512GBi5-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2015 (i5, 8GB RAM, 128GB) - Excellent",Apple Macbook Pro Series,Apple,,,MacPro2015i58128GB13-RD-EXD-AU,,,,,,,https://www.backmarket.com.au/en-au/p/macbook-pro-retina-13-3-inch-2015-core-i-5-8-gb-ssd-256-qwerty-english/f7866103-0d0d-433b-ba7d-2b84d7cbe18b?l=11&variantClicked=true#scroll=false,,,
"Apple Macbook Pro 2016 (i5, 16GB RAM, 1TB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLH12LLi5161TB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2016 (i5, 16GB RAM, 256GB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLH12LLi516256GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2016 (i5, 16GB RAM, 512GB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLH12LLi516512GB13-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2016 (i5, 8GB RAM, 1TB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLUQ2LLi51TB-RD-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2016 (i7, 16GB RAM, 1TB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLW82Xi7161TB15-RD-VR-EXD-AU,,,,,,,,,,
"Apple Macbook Pro 2016 (i7, 16GB RAM, 2TB) - Excellent",Apple Macbook Pro Series,Apple,,,MacProMLW82Xi7162TB15-RD-VR-EXD-AU,,,,,,,,,,
