PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
"Samsung Galaxy Z Fold 5 (256GB, Grey) - Excellent",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5256GBGry-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-z-fold-5-5g?skuId=sku-mfddb7dw972xUmwT4QzQaSg,,https://www.amazon.com.au/dp/B0DH8HKLVW,,
"Samsung Galaxy Z Fold 5 (512GB, Grey) - Excellent",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5512GBGry-RD-VR-EXD-AU,,,,,,,,https://www.amazon.com.au/dp/B0CCYMGHZT,,919
"Samsung Galaxy Z Fold 5 (512GB, Icy Blue) - Excellent",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld5512GBIBlu-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-z-fold-5-5g?skuId=sku-mfddbdbhINMcjEhuCgSM4te,,,,#N/A
"Samsung Galaxy Z Fold 5 (1TB, Black) - Excellent",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlk-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-z-fold-5-5g?skuId=sku-mfdc82t3MQ1peKdhcOYyKOC,,https://www.amazon.com.au/dp/B0C81CQ29Z,,979
"Samsung Galaxy Z Fold 5 (1TB, Icy Blue) - Excellent",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBIBlu-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-z-fold-5-5g?skuId=sku-mfetw5s2fszIN4A2pBw0SfG,,,,#N/A
"Samsung Galaxy Z Fold 5 (256GB, Grey) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5256GBGry-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy Z Fold 5 (512GB, Grey) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SMZFold5512GBGry-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy Z Fold 5 (512GB, Icy Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld5512GBIBlu-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-z-fold-5-512-gb-blue-unlocked/a71c04f6-1e6b-4f4b-b6e1-a453349a3c3d?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy Z Fold 5 5G (1TB, Black) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlk-VR-ASN-AU,,,,,,,,https://www.amazon.com.au/dp/B0C81CQ29Z,,979
"Samsung Galaxy Z Fold 5 5G (1TB, Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBBlu-VR-ASN-AU,,,,,,,,https://www.amazon.com.au/dp/B0CCYNG4LJ,,979
"Samsung Galaxy Z Fold 5 5G (1TB, Cream) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBCrm-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy Z Fold 5 5G (1TB, Icy Blue) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBIBlu-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy Z Fold 5 5G (1TB, Grey) - Pristine",Samsung Galaxy Z Fold Series,Samsung,,,SGlxZFld51TBGry-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Titanium Blue) - Excellent",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBBlu-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-s24-ultra?skuId=sku-mfddv2m5pC9xr66pjhWkoXz,https://www.backmarket.com.au/en-au/p/samsung-galaxy-s-24-ultra-1000-gb-blue-unlocked/54b5ef15-3cd8-4591-a6fa-8e9e6aa006d6?l=11&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Titanium Green) - Excellent",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBGrn-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-s24-ultra?skuId=sku-mnqyblotNncakX7ClxkRIfD,,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Titanium Blue) - Pristine",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBBlu-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-s-24-ultra-1000-gb-blue-unlocked/54b5ef15-3cd8-4591-a6fa-8e9e6aa006d6?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Titanium Green) - Pristine",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBGrn-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-s-24-ultra-5-g-1000-gb-green-unlocked/d186ced7-8fbb-4411-b359-ce58bcfb7bb1?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Orange) - Excellent",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBOrg-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Samsung Galaxy S24 Ultra 5G (1TB, Orange) - Pristine",Samsung Galaxy S24 Ultra Series,Samsung,,,GalS24Ult12R1TBOrg-VR-ASN-AU,,,,,,,https://www.backmarket.com.au/en-au/p/samsung-galaxy-s-24-ultra-5-g-1000-gb-orange-unlocked/f697eb0f-f42b-462c-b1a1-c8f7fd67bf5b?l=10&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy S24 Plus 5G (256GB, Sapphire Blue) - Excellent",Samsung Galaxy S24 Plus Series,Samsung,,,GalS24Pls256Blu-RD-VR-EXD-AU,,,,,,https://reebelo.com.au/collections/samsung-galaxy-s24-plus?skuId=sku-mfx8177kcoIEfgcXvwaGXXm,https://www.backmarket.com.au/en-au/p/samsung-galaxy-s-24-plus-256-gb-blue-unlocked/28be4891-e47d-4d4f-bf0b-ead0de8a5751?l=11&variantClicked=true&pickerClicked=true#scroll=false,,,#N/A
"Samsung Galaxy S24 Plus 5G (256GB, Sapphire Blue) - Pristine",Samsung Galaxy S24 Plus Series,Samsung,,,GalS24Pls256Blu-VR-ASN-AU,,,,,,,,,,#N/A
"Samsung Galaxy S24 Plus 5G (256GB, Silver) - Excellent",Samsung Galaxy S24 Plus Series,Samsung,,,GalS24Pls256Slv-RD-VR-EXD-AU,,,,,,,,,,#N/A
"Samsung Galaxy S24 Plus 5G (256GB, Silver) - Pristine",Samsung Galaxy S24 Plus Series,Samsung,,,GalS24Pls256Slv-VR-ASN-AU,,,,,,,,,,#N/A
