PRODUCT NAME,CATEGORY,BRAND,SKU,SUPPLIER,GTIN / EAN / UPC,MAP (Targeted price or RRP),Cost price,Bottom price,Ceiling price,Your site URL,Competitor #1 URL,Competitor #2 URL,Competitor #3 URL,Competitor ... URL,Harga AMAZON
"Apple iPhone 12 Pro 5G (512GB, Gold) - Pristine",Apple iPhone 12 Pro Series,Apple,,,iP12Pro5G512GBGld-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 13 PRO MAX (1TB, Blue) - Excellent",Apple iPhone 13 Pro Max Series,Apple,,,iPh13prMX1TBBlu-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 16 Plus (256GB, Teal) - Excellent",Apple iPhone 16 Series,Apple,,,iPh16Plus256GBTeal-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 16 PRO 5G (512GB, Bronze) - Excellent",Apple iPhone 16 Series,Apple,,,iPhn16Pro5G512GBBrz-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 16 PRO 5G (512GB, Black) - Excellent",Apple iPhone 16 Series,Apple,,,iPhn16Pro5G512GBBlk-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 13 Mini (512GB, Pink) - Excellent",Apple iPhone 13 Mini Series,Apple,,,iPh13Mn512GBPnkAS-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 15 (512GB, Yellow) - Excellent",Apple iPhone 15 Series,Apple,,,iP15512GBYlw-RD-VR-EXD-AU,,,,,,,,,,
"Apple iPhone 15 (512GB, Blue) - Pristine",Apple iPhone 15 Series,Apple,,,iP15512GBBlue-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 15 (512GB, Yellow) - Pristine",Apple iPhone 15 Series,Apple,,,iP15512GBYlw-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 16 (128GB, Black) - Pristine",Apple iPhone 16 Series,Apple,,,iPh16128GBBlck-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 16 (256GB, White) - Pristine",Apple iPhone 16 Series,Apple,,,iPh16256GBWht-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 16 PRO 5G (512GB, White) - Pristine",Apple iPhone 16 Series,Apple,,,iPhn16Pro5G512GBWht-VR-ASN-AU,,,,,,,,,,
"Apple iPhone 16 PRO 5G (512GB, White) - Excellent",Apple iPhone 16 Series,Apple,,,iPhn16Pro5G512GBWht-RD-VR-EXD-AU,,,,,,,,,,
