SKU;Product Name;link;amazon_price;amazon_title;match_confidence;status;error_message
iPad10.910Gen64SlvPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Silver) - Brand New;;;;0;no_match;
iPad10.910Gen256BluPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 256GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0FNXRM9WD;203.99;Apple iPad 10 (2022) - 64GB - Blue - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad1120255G6R128Blu-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Blue) - Brand New;;;;0;no_match;
iPad10.910Gen256SlvPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 256GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad1120255G6R128Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Silver) - Brand New;;;;0;no_match;
iPad10.910Gen64BluPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Blue) - Brand New";https://www.amazon.com.au/dp/B0FNXPWF38;365;Apple iPad 10 (2022) - 64GB - Blue - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad1120255G6R256Blu-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Blue) - Brand New;;;;0;no_match;
iPad10.910Gen64SlvPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Silver) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad10.910WF64YlwPRT-AU;"Apple iPad 10 Wifi 10.9"" (4GB RAM, 64GB, Yellow) - Brand New";https://www.amazon.com.au/dp/B0FNY2GDFT;365;Apple iPad 10 (2022) - 64GB - Silver - WiFi - 10.9 Inch (Renewed);0.5;matched;
iPad1120255G6R256Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
