SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
AppleMac2017i581TBHDD-RD-EXD-AU;Apple iMac 2017 (i5, 8GB RAM, 1TB) - Excellent;;;;;0;no_match;;;
AplMac2017i58256GB21-RD-EXD-AU;"Apple iMac 2017 21.5"" (i5, 8GB RAM, 256GB) - Excellent";;;;;0;no_match;;;
iMac2720175ki53482TBFD-RD-EXD-AU;"Apple iMac 2017 27"" (i5, 8GB RAM, 2TB) - Excellent";;;;;0;no_match;;;
iMac2720175ki74282TBFD-RD-EXD-AU;"Apple iMac 2017 27"" (i7, 8GB RAM, 2TB) - Excellent";;;;;0;no_match;;;
iMac21520194Ki5381TBSSD-RD-EXD-AU;"Apple iMac 2019 21.5"" (i5, 8GB RAM, 1TB) - Excellent";;;;;0;no_match;;;
iMac21520194Ki7328512GBSSD-RD-EXD-AU;"Apple iMac 2019 21.5"" (i7, 8GB RAM, 512GB) - Excellent";;;;;0;no_match;;;
AppleMac20205Ki5161TBSSD-RD-EXD-AU;Apple iMac 2020 5K (i5, 16GB RAM, 1TB) - Excellent;;;;;0;no_match;;;
AplMac2021M1162TBBlue824-RD-EXD-AU;Apple iMac 2021 (M1, 16GB RAM, 2TB, Blue) - Excellent;https://www.amazon.com.au/Apple-Retina-Display-512GB-macOS/dp/B0GQGR7H6V/ref=sr_1_2?crid=35LFA0S101BGL&dib=eyJ2IjoiMSJ9.B_1kDj2kKFWFczEkHb0meVib3T-xZFOo_zKRy5k41zXgOm7i3QzizR0mmLy_1Bel4-3a_0PVas5p3jUxUNaninDEpPwY3ljXR7oCrQzV50YMnZeAGUNgavztLxM-Mi0Jk3_tsaRlM68VwLSvpxeTwjq7lY1lVwcx7ggi0MwkCdufs_b39qAlCuYx0y_HKcL3dfKhYBf07R3JuL_4gjRFyg.-Dm6BETx-fYMauAwSNFC--68wSuhQAv4KQ6TX64esOM&dib_tag=se&keywords=Apple+iMac+2021+2TB&qid=1783069438&sprefix=apple+imac+2021+2tb%2Caps%2C420&sr=8-2;M1 | 8GB, 8 GB, 8GB, 8 GB, 8GB, 8 GB | 8GB, 8 GB, 512GB, 512 GB, 8GB, 8 GB, 512GB, 512 GB, 8GB, 8 GB, 512GB, 512 GB, 512GB, 512 GB, 2TB, 2 TB, 2TB, 2 TB | Blue;1019;"Apple iMac 2021 24"" Retina Display Apple M1 8GB RAM 512GB SSD macOS - Blue (Renewed)";0.5;matched;;Excellent;https://www.amazon.com.au/Apple-Retina-Display-512GB-macOS/dp/B0GQGR7H6V/ref=sr_1_2?crid=35LFA0S101BGL&dib=eyJ2IjoiMSJ9.B_1kDj2kKFWFczEkHb0meVib3T-xZFOo_zKRy5k41zXgOm7i3QzizR0mmLy_1Bel4-3a_0PVas5p3jUxUNaninDEpPwY3ljXR7oCrQzV50YMnZeAGUNgavztLxM-Mi0Jk3_tsaRlM68VwLSvpxeTwjq7lY1lVwcx7ggi0MwkCdufs_b39qAlCuYx0y_HKcL3dfKhYBf07R3JuL_4gjRFyg.-Dm6BETx-fYMauAwSNFC--68wSuhQAv4KQ6TX64esOM&dib_tag=se&keywords=Apple+iMac+2021+2TB&qid=1783069438&sprefix=apple+imac+2021+2tb%2Caps%2C420&sr=8-2
iMac20218256GB7CGPU24PnR-RD-VR-EXD-AU;Apple iMac 2021 (M1, 8GB RAM, 256GB, 7 Core GPU, Pink Red, 24inc) - Excellent;;;;;0;no_match;;;
ApliMac2421M182567CSlv-RD-EXD-AU;Apple iMac 2021 (M1, 8GB RAM, 256GB, 7 Core GPU, Silver, 24inc) - Excellent;;;;;0;no_match;;;
