SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message;spec;condition
iPhone125G128GBBlue-VR-ASN-AU;Apple iPhone 12 5G (128GB, Blue) - Pristine;;;;;0;no_match;;;
iPhone12Pro5G128GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Blue) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-pacific-blue-unlocked/ef8db578-b5aa-469b-a570-90ca658a801c?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-pacific-blue-unlocked/ef8db578-b5aa-469b-a570-90ca658a801c?l=12&variantClicked=true&pickerClicked=true#scroll=false;417;iPhone 12 Pro;0.5;matched;;No specs detected;Refurbished
iPh12Mini5G256GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (256GB, Purple) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-purple-unlocked/f1680945-9f15-4bc1-80be-04c7d5288e3c?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-purple-unlocked/f1680945-9f15-4bc1-80be-04c7d5288e3c?l=12&variantClicked=true&pickerClicked=true#scroll=false;291;iPhone 12 mini;0.5;matched;;No specs detected;Refurbished
iPhone12Pro5G128GBGold-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Gold) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-gold-unlocked/b6a02895-f151-4b82-bcde-792bd29184d2?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-gold-unlocked/b6a02895-f151-4b82-bcde-792bd29184d2?l=12&variantClicked=true&pickerClicked=true#scroll=false;488;iPhone 12 Pro;0.5;matched;;No specs detected;Refurbished
iPhone12Pro5G128GBSpG-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Graphite) - Excellent;;;;;0;no_match;;;
iPhone12Pro5G128GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-silver-unlocked/e47f3122-4b5a-4337-bff2-f1062e25d2df?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-silver-unlocked/e47f3122-4b5a-4337-bff2-f1062e25d2df?l=12&variantClicked=true&pickerClicked=true#scroll=false;489;iPhone 12 Pro;0.5;matched;;No specs detected;Refurbished
iP12Pro5G256GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Blue) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-pacific-blue-unlocked/ef8db578-b5aa-469b-a570-90ca658a801c?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-pacific-blue-unlocked/ef8db578-b5aa-469b-a570-90ca658a801c?l=12&variantClicked=true&pickerClicked=true#scroll=false;417;iPhone 12 Pro;0.5;matched;;No specs detected;Refurbished
iP12MN64GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (64GB, Purple) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-purple-unlocked/f1680945-9f15-4bc1-80be-04c7d5288e3c?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-purple-unlocked/f1680945-9f15-4bc1-80be-04c7d5288e3c?l=12&variantClicked=true&pickerClicked=true#scroll=false;291;iPhone 12 mini;0.5;matched;;No specs detected;Refurbished
iP12Pro5G256GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-silver-unlocked/e47f3122-4b5a-4337-bff2-f1062e25d2df?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-pro-128-gb-silver-unlocked/e47f3122-4b5a-4337-bff2-f1062e25d2df?l=12&variantClicked=true&pickerClicked=true#scroll=false;489;iPhone 12 Pro;0.5;matched;;No specs detected;Refurbished
iPh12Mini5G128GBBlck-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Black) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-black-unlocked/0f56fdcd-1d71-445f-b768-f1f5afa16114?l=12&variantClicked=true&pickerClicked=true#scroll=false;https://www.backmarket.com.au/en-au/p/iphone-12-mini-64-gb-black-unlocked/0f56fdcd-1d71-445f-b768-f1f5afa16114?l=12&variantClicked=true&pickerClicked=true#scroll=false;290;iPhone 12 mini;0.5;matched;;No specs detected;Refurbished
