SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
iPhone125G128GBBlue-VR-ASN-AU;Apple iPhone 12 5G (128GB, Blue) - Pristine;;;;;0;no_match;;;
iPhone12Pro5G128GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Blue) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iPh12Mini5G256GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (256GB, Purple) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPhone12Pro5G128GBGold-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Gold) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iPhone12Pro5G128GBSpG-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Graphite) - Excellent;;;;;0;no_match;;;
iPhone12Pro5G128GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iP12Pro5G256GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Blue) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iP12MN64GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (64GB, Purple) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iP12Pro5G256GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iPh12Mini5G128GBBlck-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Black) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPh12Mini5G128GBBlue-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Blue) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iP12Pro5G512GBGld-VR-ASN-AU;Apple iPhone 12 Pro 5G (512GB, Gold) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-pro;No specs detected;417;iPhone 12 Pro;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-pro
iPh12Mini5G128GBGren-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Green) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPh12Mini5G128GBPurp-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Purple) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPh12Mini5G128GBRed-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Red) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPh12Mini5G128GBWht-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, White) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-12-mini;No specs detected;250;iPhone 12 mini;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-12-mini
iPhn16Pro5G512GBBrz-RD-VR-EXD-AU;Apple iPhone 16 PRO 5G (512GB, Bronze) - Excellent;;;;;0;no_match;;;
iPhn16Pro5G512GBBlk-RD-VR-EXD-AU;Apple iPhone 16 PRO 5G (512GB, Black) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-16-pro;No specs detected;1141;iPhone 16 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-16-pro
iPhn16Pro5G512GBWht-VR-ASN-AU;Apple iPhone 16 PRO 5G (512GB, White) - Pristine;https://www.backmarket.com.au/en-au/p/iphone-16-pro;No specs detected;1141;iPhone 16 Pro;0.5;matched;;Excellent;https://www.backmarket.com.au/en-au/p/iphone-16-pro
iPhn16Pro5G512GBWht-RD-VR-EXD-AU;Apple iPhone 16 PRO 5G (512GB, White) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-16-pro;No specs detected;1141;iPhone 16 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-16-pro
