SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
ip11128GBYellow-EXD-AU;Apple iPhone 11 (128GB, Yellow) - Excellent;https://www.backmarket.com.au/en-au;No specs detected;;Back Market - your refurbished electronics (Super) Market;0.5;matched;;Good;https://www.backmarket.com.au/en-au
ip11256GBBlack-EXD-AU;Apple iPhone 11 (256GB, Black) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11;No specs detected;238;iPhone 11;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11
ip11256GBPurple-EXD-AU;Apple iPhone 11 (256GB, Purple) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11;No specs detected;238;iPhone 11;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11
ip11256GBYellow-EXD-AU;Apple iPhone 11 (256GB, Yellow) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11;No specs detected;238;iPhone 11;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11
ip1164GBGreen-EXD-AU;Apple iPhone 11 (64GB, Green) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11;No specs detected;238;iPhone 11;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11
ip1164GBPurple-EXD-AU;Apple iPhone 11 (64GB, Purple) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11;No specs detected;238;iPhone 11;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11
ip11ProGB256Gold-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Gold) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro;No specs detected;327.28;iPhone 11 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro
ip11ProGB256Slvr-RD-VR-EXD-AU;Apple iPhone 11 PRO (256GB, Silver) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro;No specs detected;327.28;iPhone 11 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro
ip11ProGB512Green-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Green) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro;No specs detected;327.28;iPhone 11 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro
ip11ProGB512SpG-RD-VR-EXD-AU;Apple iPhone 11 PRO (512GB, Grey) - Excellent;https://www.backmarket.com.au/en-au/p/iphone-11-pro;No specs detected;327.28;iPhone 11 Pro;0.5;matched;;Good;https://www.backmarket.com.au/en-au/p/iphone-11-pro
