SKU;Product Name;link;link_round1;amazon_price;amazon_title;match_confidence;status;error_message;spec;condition
iPhone125G128GBBlue-VR-ASN-AU;Apple iPhone 12 5G (128GB, Blue) - Pristine;https://reebelo.com.au/collections/apple-iphone-12?skuId=sku-mq8bi6vmDUeHhSSdmGxwncw;https://reebelo.com.au/collections/apple-iphone-12?skuId=sku-mq8bi6vmDUeHhSSdmGxwncw;;iPhone 12 - 128GB - Blue;1;matched;;128GB, 128 GB | Blue;Refurbished
iPhone12Pro5G128GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Blue) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;;iPhone 12 Pro - 128GB - Silver;1;matched;;128GB, 128 GB | Silver;Refurbished
iPh12Mini5G256GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (256GB, Purple) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8c0otqzhbcGkF4oqlIg7d;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8c0otqzhbcGkF4oqlIg7d;;iPhone 12 mini - 256GB - Purple;1;matched;;256GB, 256 GB | Purple;Refurbished
iPhone12Pro5G128GBGold-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnpn1gogwiDPMpVLjv6Jfu6;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnpn1gogwiDPMpVLjv6Jfu6;;iPhone 12 Pro - 128GB - Gold;1;matched;;128GB, 128 GB | Gold;Refurbished
iPhone12Pro5G128GBSpG-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Graphite) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;;iPhone 12 Pro - 128GB - Silver;1;matched;;128GB, 128 GB | Silver;Refurbished
iPhone12Pro5G128GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;;iPhone 12 Pro - 128GB - Silver;1;matched;;128GB, 128 GB | Silver;Refurbished
iP12Pro5G256GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Blue) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN;;iPhone 12 Pro - 256GB - Silver;1;matched;;256GB, 256 GB | Silver;Refurbished
iP12MN64GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (64GB, Purple) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhowioPYiIVB5jUwgCKU;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhowioPYiIVB5jUwgCKU;;iPhone 12 mini - 64GB - Purple;1;matched;;64GB, 64 GB | Purple;Refurbished
iP12Pro5G256GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN;;iPhone 12 Pro - 256GB - Silver;1;matched;;256GB, 256 GB | Silver;Refurbished
iPh12Mini5G128GBBlck-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Black) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhx9lGGpc2qkqb35vCe5;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhx9lGGpc2qkqb35vCe5;;iPhone 12 mini - 128GB - Black;1;matched;;128GB, 128 GB | Black;Refurbished
