SKU;Product Name;link;spec;amazon_price;amazon_title;match_confidence;status;error_message;condition;link_round1
iPhone125G128GBBlue-VR-ASN-AU;Apple iPhone 12 5G (128GB, Blue) - Pristine;https://reebelo.com.au/collections/apple-iphone-12?skuId=sku-mq8bi6vmDUeHhSSdmGxwncw;128GB, 128 GB | Blue;;iPhone 12 - 128GB - Blue;1;matched;;Like New;https://reebelo.com.au/collections/apple-iphone-12?skuId=sku-mq8bi6vmDUeHhSSdmGxwncw
iPhone12Pro5G128GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Blue) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnoweld5W2btyOuw03fZtbm;128GB, 128 GB | Pacific Blue;;iPhone 12 Pro - 128GB - Pacific Blue;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnoweld5W2btyOuw03fZtbm
iPh12Mini5G256GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (256GB, Purple) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8c0otqzhbcGkF4oqlIg7d;256GB, 256 GB | Purple;;iPhone 12 mini - 256GB - Purple;1;matched;;Like New;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8c0otqzhbcGkF4oqlIg7d
iPhone12Pro5G128GBGold-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Gold) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnpn1gogwiDPMpVLjv6Jfu6;128GB, 128 GB | Gold;;iPhone 12 Pro - 128GB - Gold;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnpn1gogwiDPMpVLjv6Jfu6
iPhone12Pro5G128GBSpG-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Graphite) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowfjlwfMTNpO5x4QdcM8C;128GB, 128 GB | Graphite;;iPhone 12 Pro - 128GB - Graphite;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowfjlwfMTNpO5x4QdcM8C
iPhone12Pro5G128GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (128GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2;128GB, 128 GB | Silver;;iPhone 12 Pro - 128GB - Silver;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowjyz1ajFGcqY8gGJJ9B2
iP12Pro5G256GBBlue-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Blue) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnqqnjzka2yYzvPXEJtyzph;256GB, 256 GB | Pacific Blue;;iPhone 12 Pro - 256GB - Pacific Blue;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnqqnjzka2yYzvPXEJtyzph
iP12MN64GBPurp-VR-ASN-AU;Apple iPhone 12 Mini (64GB, Purple) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhowioPYiIVB5jUwgCKU;64GB, 64 GB | Purple;;iPhone 12 mini - 64GB - Purple;1;matched;;Like New;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhowioPYiIVB5jUwgCKU
iP12Pro5G256GBSilv-RD-VR-EXD-AU;Apple iPhone 12 Pro 5G (256GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN;256GB, 256 GB | Silver;;iPhone 12 Pro - 256GB - Silver;1;matched;;Very Good;https://reebelo.com.au/collections/apple-iphone-12-pro?skuId=sku-mnowllupwBlkZbIKJ4HHmkN
iPh12Mini5G128GBBlck-VR-ASN-AU;Apple iPhone 12 Mini 5G (128GB, Black) - Pristine;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhx9lGGpc2qkqb35vCe5;128GB, 128 GB | Black;;iPhone 12 mini - 128GB - Black;1;matched;;Like New;https://reebelo.com.au/collections/apple-iphone-12-mini?skuId=sku-mq8bhx9lGGpc2qkqb35vCe5
