SKU;Product Name;link;amazon_title;match_confidence;status;error_message
iPad10.910Gen256BluPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 256GB, Blue) - Brand New;;;0;no_match;
iPad10.910Gen256SlvPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 256GB, Silver) - Brand New;;;0;no_match;
iPad10.910Gen64BluPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Blue) - Brand New;;;0;no_match;
iPad10.910Gen256SlvPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 256GB, Silver) - Brand New;;;0;no_match;
iPad10.910Gen64SlvPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Silver) - Brand New;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;0;no_match;
iPad10.910Gen256SlvPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R128Blu-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Blue) - Brand New;;;;0;no_match;
iPad1120255G6R128Pnk-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Pink) - Brand New;;;;0;no_match;
iPad1120255G6R128Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Silver) - Brand New;;;;0;no_match;
iPad1120255G6R128Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R256Blu-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Blue) - Brand New;;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R128Pnk-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Pink) - Brand New;;;;0;no_match;
iPad1120255G6R128Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R256Pnk-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Pink) - Brand New;;;;0;no_match;
iPad1120255G6R256Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
iPad1120255G6R256Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Yellow) - Brand New;;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R128Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 128GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R256Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
iPad1120255G6R512Blu-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Blue) - Brand New;;;;0;no_match;
iPad1120255G6R512Pnk-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Pink) - Brand New;;;;0;no_match;
iPad1120255G6R512Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Silver) - Brand New;;;;0;no_match;
iPad1120255G6R512Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R128Blu-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Blue) - Brand New;;;;0;no_match;
iPad112025WF6R128Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R128Slv-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Silver) - Brand New;;;;0;no_match;
iPad112025WF6R128Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R256Blu-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Blue) - Brand New;;;;0;no_match;
iPad112025WF6R256Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R256Slv-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
iPad112025WF6R256Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R512Blu-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Blue) - Brand New;;;;0;no_match;
iPad112025WF6R512Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R512Slv-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Silver) - Brand New;;;;0;no_match;
iPad112025WF6R512Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Yellow) - Brand New;;;;0;no_match;
iPadAir1120255G8R128Blu-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 128GB, Blue) - Brand New;;;;0;no_match;
iPadAir1120255G8R128Prp-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 128GB, Purple) - Brand New;;;;0;no_match;
iPadAir1120255G8R128Gry-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 128GB, Space Gray) - Brand New;;;;0;no_match;
iPadAir1120255G8R128Stl-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 128GB, Starlight) - Brand New;;;;0;no_match;
iPadAir1120255G8R1TBBlu-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 1TB, Blue) - Brand New;;;;0;no_match;
iPadAir1120255G8R1TBPrp-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 1TB, Purple) - Brand New;;;;0;no_match;
iPadAir1120255G8R1TBGry-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 1TB, Space Gray) - Brand New;;;;0;no_match;
iPadAir1120255G8R1TBStl-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 1TB, Starlight) - Brand New;;;;0;no_match;
iPadAir1120255G8R256Blu-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 256GB, Blue) - Brand New;;;;0;no_match;
iPadAir1120255G8R256Prp-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 256GB, Purple) - Brand New;;;;0;no_match;
iPadAir1120255G8R256Gry-AU;Apple iPad Air 2025 5G 11" (8GB RAM, 256GB, Space Gray) - Brand New;;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R256Slv-AU;Apple iPad 2025 5G 11" (6GB RAM, 256GB, Silver) - Brand New;;;;0;no_match;
iPad10.910WF64YlwPRT-AU;Apple iPad 10 Wifi 10.9" (4GB RAM, 64GB, Yellow) - Brand New;;;;0;no_match;
iPad1120255G6R512Pnk-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Pink) - Brand New;;;;0;no_match;
iPad1120255G6R512Ylw-AU;Apple iPad 2025 5G 11" (6GB RAM, 512GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R128Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R128Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 128GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R256Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R256Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 256GB, Yellow) - Brand New;;;;0;no_match;
iPad112025WF6R512Pnk-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Pink) - Brand New;;;;0;no_match;
iPad112025WF6R512Ylw-AU;Apple iPad 2025 Wifi 11" (6GB RAM, 512GB, Yellow) - Brand New;;;;0;no_match;
