SKU;Product Name;link;link_round1;Correct URL;amazon_title;match_confidence;status;error_message;val_expected_storage;val_scraped_storage;val_expected_color;val_scraped_color;val_status;val_reason
SGlxWtch4Bth40MMBlk-VR-ASN-AU;Samsung Galaxy Watch 4 (40MM, Bluetooth, Black) - Pristine;;;https://reebelo.com.au/collections/samsung-galaxy-watch-4?skuId=sku-mq8bqrqkRVpkbQHrDXnTkcW;;0;no_match;;;;;;;
SamGalWtch4Bth44MMBlck-RD-VR-EXD-AU;Samsung Galaxy Watch 4 (44MM, Black, Bluetooth) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch-4?skuId=sku-mfde2fiabcW8YwQ7X0i89wl;;0;no_match;;;;;;;
SamGalWtch4CBth46MMBlck-RD-VR-EXD-AU;Samsung Galaxy Watch 4 (46MM, Black, Classic Bluetooth) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch-4?skuId=sku-mflceul3YQwCPU21KSO8u1O;;0;no_match;;;;;;;
SamGalWtch4CBth46MMSlv-RD-VR-EXD-AU;Samsung Galaxy Watch 4 (46MM, Silver, Classic Bluetooth) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch-4?skuId=sku-mmaulzxxakiSxonvb3Q7zsJ;;0;no_match;;;;;;;
SGlxW5Pro45MMCelBlkTtn-RD-VR-EXD-AU;Samsung Galaxy Watch 5 Pro Titanium (45MM, LTE, Black) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch5-pro?skuId=sku-mfczb84eplB6Wfw4DCRi0uV;;0;no_match;;;;;;;
SGlxW5Pro45MMCelGryTtn-RD-VR-EXD-AU;Samsung Galaxy Watch 5 Pro Titanium (45MM, LTE, Grey) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch5-pro?skuId=sku-mhygj8cqr59hKIZawrI2cby;;0;no_match;;;;;;;
SGlxW644MMCelSlv-RD-VR-EXD-AU;Samsung Galaxy Watch 6 Cellular (44MM, Silver) - Excellent;;;https://reebelo.com.au/collections/samsung-galaxy-watch-6?skuId=sku-mpm99hukQxrDDMT5KQTWObt;;0;no_match;;;;;;;
MacAir132020Slv256GBM1-RD-VR-EXD-AU;Apple Macbook Air 2020 (M1, 8GB RAM, 256GB, Silver) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mflc1289Klw02q5J3vBRHpz;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mflc1289Klw02q5J3vBRHpz;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfh4ly7us6Z2TAKP8sZ4MgU;MacBook Air (2020) 13.3-inch - Intel Core i3 1.1GHz - 8GB RAM - SSD 256GB;1;matched;;256GB;256GB;Silver;;ok;
MacAir132020SpG256GBM1-RD-VR-EXD-AU;Apple Macbook Air 2020 (M1, 8GB RAM, 256GB, Space Grey) - Excellent;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfdco4oz26yYHxhNFSW8ViN;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfdco4oz26yYHxhNFSW8ViN;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfh4k7otcoUgVDmC7VRTI2W;MacBook Air (2020) 13.3-inch - Intel Core i3 1.1GHz - 8GB RAM - SSD 256GB;1;matched;;256GB;256GB;Space Grey;;ok;
MacAir132020Slv512GBM1-RD-VR-EXD-AU;Apple Macbook Air 2020 (M1, 8GB RAM, 512GB, Silver) - Excellent;;;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfh4rkwve8GEh3d1B86swY5;;0;no_match;;;;;;;
AMAir20M1A2337GRY256-RD-VR-EXD-AU;"Apple Macbook Air M1 2020 13"" A2337 (256GB, 8GB RAM, Grey) - Excellent";;;https://reebelo.com.au/collections/apple-macbook-air-2020-13.3-inch?skuId=sku-mfh4k7otcoUgVDmC7VRTI2W;;0;no_match;;;;;;;
MacAirMQD42i58512GB13-RD-EXD-AU;Apple Macbook Air Mid 2017 (i5, 8GB RAM, 512GB) - Excellent;;;https://reebelo.com.au/collections/apple-macbook-air-2017-13.3-inch?skuId=sku-mi7872ztoi5dfIpG9KKPie6;;0;no_match;;;;;;;
MacPro2019i7256GB15-RD-VR-EXD-AU;"Apple Macbook Pro 2019 (i7, 16GB RAM, 256GB, 15"", Touch Bar) - Excellent";https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mfdgxko1WSARaLHEQal8DT8;https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mfdgxko1WSARaLHEQal8DT8;https://reebelo.com.au/collections/apple-macbook-pro-2019-15.4-inch?skuId=sku-mflc5qanmMXomG01T9Sg7ur;MacBook Pro (2019) 15.4-inch - Intel Core i7 2.6GHz - 16GB RAM - SSD 256GB;1;matched;;256GB;256GB;;;ok;
MacPro2020i5512GB-RD-EXD-AU;Apple Macbook Pro 2020 (i5, 8GB RAM, 512GB)- Excellent;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mpwjbd2wRLRG9mbPKTbm57d;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mpwjbd2wRLRG9mbPKTbm57d;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mflbx69psL8WG0RRVT6WMVu;MacBook Pro (2020) 13.3-inch - Intel Core i7 2.3GHz - 16GB RAM - SSD 512GB;1;matched;;512GB;512GB;;;duplicate_url;URL shared with: MacPro2020i716512GB13-RD-EXD-AU
MacPro2020i716512GB13-RD-EXD-AU;Apple Macbook Pro 2020 (i7, 16GB RAM, 512GB) - Excellent;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mpwjbd2wRLRG9mbPKTbm57d;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mpwjbd2wRLRG9mbPKTbm57d;https://reebelo.com.au/collections/apple-macbook-pro-2020-13-inch?skuId=sku-mflcioq2Vx5L4KeKUnRfGPg;MacBook Pro (2020) 13.3-inch - Intel Core i7 2.3GHz - 16GB RAM - SSD 512GB;1;matched;;512GB;512GB;;;duplicate_url;URL shared with: MacPro2020i5512GB-RD-EXD-AU
